user_id,rank,exposure,artist,user_country,user_age,user_gender,artist_country,artist_gender
88,1,1.0,Julie Byrne,NL,24,m,US,Female
88,2,0.6309297535714575,Bat for Lashes,NL,24,m,UK,Female
88,3,0.5,Cass McCombs,NL,24,m,US,Male
88,4,0.43067655807339306,Grimes,NL,24,m,CA,Female
88,5,0.38685280723454163,Courtney Barnett,NL,24,m,AU,Female
88,6,0.3562071871080222,Marisa Monte,NL,24,m,BR,Female
88,7,0.3333333333333333,Grouper,NL,24,m,US,Female
88,8,0.31546487678572877,The Tallest Man on Earth,NL,24,m,SE,Male
88,9,0.3010299956639812,Rush,NL,24,m,US,Male
88,10,0.2890648263178879,Manu Chao,NL,24,m,FR,Male
933,1,1.0,Britney Spears,RU,15,m,US,Female
933,2,0.6309297535714575,Adele,RU,15,m,UK,Female
933,3,0.5,Kacey Musgraves,RU,15,m,US,Female
933,4,0.43067655807339306,Avril Lavigne,RU,15,m,CA,Female
933,5,0.38685280723454163,Sia,RU,15,m,AU,Female
933,6,0.3562071871080222,Anitta,RU,15,m,BR,Female
933,7,0.3333333333333333,Justin Timberlake,RU,15,m,US,Male
933,8,0.31546487678572877,Tove Lo,RU,15,m,SE,Female
933,9,0.3010299956639812,Kent,RU,15,m,FR,Male
933,10,0.2890648263178879,Paula Abdul,RU,15,m,US,Female
858,1,1.0,Father John Misty,BR,15,m,US,Male
858,2,0.6309297535714575,Steve Winwood,BR,15,m,UK,Male
858,3,0.5,Rob Zombie,BR,15,m,US,Male
858,4,0.43067655807339306,Leonard Cohen,BR,15,m,CA,Male
858,5,0.38685280723454163,Flume,BR,15,m,AU,Male
858,6,0.3562071871080222,Marisa Monte,BR,15,m,BR,Female
858,7,0.3333333333333333,Beyoncé,BR,15,m,US,Female
858,8,0.31546487678572877,Tove Lo,BR,15,m,SE,Female
858,9,0.3010299956639812,Madonna,BR,15,m,US,Female
858,10,0.2890648263178879,The Avener,BR,15,m,FR,Male
884,1,1.0,Beyoncé,RU,17,m,US,Female
884,2,0.6309297535714575,Rita Ora,RU,17,m,UK,Female
884,3,0.5,Ariana Grande,RU,17,m,US,Female
884,4,0.43067655807339306,Alanis Morissette,RU,17,m,CA,Female
884,5,0.38685280723454163,Sia,RU,17,m,AU,Female
884,6,0.3562071871080222,Amon Tobin,RU,17,m,BR,Male
884,7,0.3333333333333333,Vanessa Carlton,RU,17,m,US,Female
884,8,0.31546487678572877,Fever Ray,RU,17,m,SE,Non-binary
884,9,0.3010299956639812,Eminem,RU,17,m,US,Male
884,10,0.2890648263178879,Christine and the Queens,RU,17,m,FR,Male
549,1,1.0,Julie Byrne,CA,21,m,US,Female
549,2,0.6309297535714575,Darkside,CA,21,m,UK,Male
549,3,0.5,Moby,CA,21,m,US,Male
549,4,0.43067655807339306,Grimes,CA,21,m,CA,Female
549,5,0.38685280723454163,Timmy Trumpet,CA,21,m,AU,Male
549,6,0.3562071871080222,Marisa Monte,CA,21,m,BR,Female
549,7,0.3333333333333333,Cass McCombs,CA,21,m,US,Male
549,8,0.31546487678572877,Zara Larsson,CA,21,m,SE,Female
549,9,0.3010299956639812,Chris Isaak,CA,21,m,US,Male
549,10,0.2890648263178879,Manu Chao,CA,21,m,FR,Male
67,1,1.0,Taylor McFerrin,UK,27,m,US,Male
67,2,0.6309297535714575,PJ Harvey,UK,27,m,UK,Female
67,3,0.5,Jay Reatard,UK,27,m,US,Male
67,4,0.43067655807339306,Mac DeMarco,UK,27,m,CA,Male
67,5,0.38685280723454163,Timmy Trumpet,UK,27,m,AU,Male
67,6,0.3562071871080222,Marisa Monte,UK,27,m,BR,Female
