user_id,rank,exposure,artist,user_country,user_age,user_gender,artist_country,artist_gender
1,1,1.0,Haddaway,UK,29,m,DE,Male
1,2,0.6309297535714575,Billy Joel,UK,29,m,US,Male
1,3,0.5,Beck,UK,29,m,DK,Male
1,4,0.43067655807339306,Michael Sembello,UK,29,m,US,Male
1,5,0.38685280723454163,Billy Joel,UK,29,m,US,Male
1,6,0.3562071871080222,Britney Spears,UK,29,m,US,Female
1,7,0.3333333333333333,Britney Spears,UK,29,m,US,Female
1,8,0.31546487678572877,Chris Isaak,UK,29,m,US,Male
1,9,0.3010299956639812,Ed Sheeran,UK,29,m,UK,Male
1,10,0.2890648263178879,George Ezra,UK,29,m,UK,Male
2,1,1.0,Leonard Cohen,US,29,f,CA,Male
2,2,0.6309297535714575,Emperor,US,29,f,UK,Male
2,3,0.5,Emperor,US,29,f,UK,Male
2,4,0.43067655807339306,Emperor,US,29,f,UK,Male
2,5,0.38685280723454163,Ozzy Osbourne,US,29,f,UK,Male
2,6,0.3562071871080222,Marilyn Manson,US,29,f,US,Male
2,7,0.3333333333333333,Marilyn Manson,US,29,f,US,Male
2,8,0.31546487678572877,Marilyn Manson,US,29,f,US,Male
2,9,0.3010299956639812,Amanda Palmer,US,29,f,US,Female
2,10,0.2890648263178879,Ihsahn,US,29,f,NO,Male
3,1,1.0,Aldous Harding,CH,27,m,NZ,Female
3,2,0.6309297535714575,Snail Mail,CH,27,m,US,Female
3,3,0.5,Weyes Blood,CH,27,m,US,Female
3,4,0.43067655807339306,John Maus,CH,27,m,US,Male
3,5,0.38685280723454163,Thom Yorke,CH,27,m,UK,Male
3,6,0.3562071871080222,John Maus,CH,27,m,US,Male
3,7,0.3333333333333333,Weyes Blood,CH,27,m,US,Female
3,8,0.31546487678572877,Sufjan Stevens,CH,27,m,US,Male
3,9,0.3010299956639812,Apparat,CH,27,m,DE,Male
3,10,0.2890648263178879,Toro y Moi,CH,27,m,US,Male
4,1,1.0,Beck,UK,32,m,DK,Male
4,2,0.6309297535714575,AFI,UK,32,m,US,Female
4,3,0.5,Avril Lavigne,UK,32,m,CA,Female
4,4,0.43067655807339306,Chuck Berry,UK,32,m,US,Male
4,5,0.38685280723454163,Britney Spears,UK,32,m,US,Female
4,6,0.3562071871080222,Britney Spears,UK,32,m,US,Female
