769	Miguel	...All	ES	Male	en	low
258	Britney Spears	...Baby One More Time	US	Female	en	high
729	J. Cole	03' Adolescence	US	Male	en	high
481	Miley Cyrus	1 Sun	US	Non-binary	en	high
2007	Amerie	1 Thing	US	Female	en	high
2204	Lali	100 Grados	AR	Female		mid
1721	Five for Fighting	100 Years	US	Male	en	mid
3247	Crystal Waters	100% Pure Love	US	Female	en	low
3108	MC Carol	100% feminista	BR	Female	pt	low
2386	Sara Bareilles	1000 Times	US	Female	en	high
513	Mac DeMarco	106.2 Breeze FM	CA	Male	en	high
4041	Fito Páez	11 Y 6	AR	Male	es	low
3695	Julian Casablancas	11th Dimension	US	Male	en	high
2623	The Tallest Man on Earth	1904	SE	Male	en	high
3872	Richard Thompson	1952 Vincent Black Lightning	UK	Male	en	low
974	James Blunt	1973	UK	Male	en	high
2274	Liima	1982	FI	Male	en	low
1296	Salmo	1984	IT	Male	it	high
1931	Azealia Banks	1991	US	Female	en	high
1439	Marilyn Manson	1996	US	Male	en	high
900	Chet Faker	1998	AU	Male	en	high
1441	Danger	19:00	FR	Male	no_lyrics	low
4970	Freddie Gibbs	2 Legit	US	Male	en	low
1178	2Pac	2 Of Amerikaz Most Wanted	US	Male	en	high
2677	Tinashe	2 On	US	Female	en	mid
3745	Kevin Gates	2 Phones	US	Male	en	mid
17	Ann Lee	2 Times - Original	IT	Female	no_lyrics	mid
2171	Dillon	2. Kind	US	Male	en	low
4774	Erykah Badu	20 Feet Tall	US	Female	en	high
2337	Ken Ashcorp	20 Percent Cooler	UK	Male	en	mid
4463	The Kinks	20th Century Man	US	Male	en	high
3352	Lily Allen	22	UK	Female	en	high
1771	Rejjie Snow	23	IE	Male	en	high
4721	Adore Delano	27 Club	US	Female	en	mid
3671	BANKS	27 Hours	US	Female	en	high
4130	Robert Plant	29 Palms	UK	Male	en	low
3474	Mc IG	3 Dias Virado	BR	Male	pt	mid
3544	Eminem	3 a.m.	US	Male	en	high
2383	Soccer Mommy	3 am at a party	US	Female	en	mid
3351	ZEDD, Katy Perry	365	US	Female		high
4732	AFI	37mm	US	Female	en	high
4289	Miss Kittin	3ème Sexe	FR	Female	en	low
3784	Erykah Badu	4 Leaf Clover	US	Female	en	high
1636	Madonna	4 Minutes	US	Female	en	high
1548	Big K.R.I.T.	4 Tha Three	US	Male	en	mid
2959	Gwen Stefani	4 in the Morning	US	Female	en	high
