user_id	item_id	rank	score
1	0	1	6.1876993
1	539	2	5.4638586
1	49	3	5.3161793
1	58	4	5.120173
1	604	5	5.065197
1	1091	6	5.049646
1	393	7	4.998785
1	168	8	4.971609
1	1410	9	4.927081
1	1066	10	4.7910213
2	49	1	6.005186
2	874	2	5.789096
2	905	3	5.5960274
2	1410	4	5.551676
2	539	5	5.4729633
2	604	6	5.38384
2	488	7	5.375187
2	168	8	5.326477
2	454	9	5.3130746
2	456	10	5.2516623
3	2628	1	4.359395
3	3074	2	4.3117404
3	2576	3	4.1037507
3	3075	4	4.030608
3	492	5	3.9894888
3	108	6	3.9854727
3	622	7	3.8542886
3	1411	8	3.7970622
3	895	9	3.7185774
3	1449	10	3.6157203
4	77	1	3.6225498
4	1594	2	3.5716934
4	3781	3	3.127628
4	860	4	3.0284982
4	1983	5	3.0000405
4	4021	6	2.9840164
4	389	7	2.8539987
4	510	8	2.7259502
4	44	9	2.6002998
4	985	10	2.5476208
5	2093	1	4.2313023
5	383	2	4.0286064
5	944	3	3.9894786
5	391	4	3.9781716
5	4	5	3.9592803
5	1910	6	3.8545387
5	148	7	3.8528633
5	185	8	3.8399403
5	1701	9	3.8343196
5	589	10	3.8057156
6	3781	1	2.953857
6	1594	2	2.936143
6	322	3	2.8563862
6	77	4	2.6775544
6	80	5	2.6492624
6	41	6	2.5935998
6	44	7	2.5714786
6	4021	8	2.5052044
6	45	9	2.391197
6	1983	10	2.2566004
7	95	1	4.037173
7	1411	2	3.8268244
7	79	3	3.723009
7	231	4	3.397002
7	11	5	3.3869352
7	716	6	3.3034754
7	2044	7	3.1982262
7	243	8	3.197462
7	1006	9	3.148263
7	3072	10	3.138813
8	1066	1	3.622862
8	439	2	3.176447
8	41	3	2.7475562
8	44	4	2.6654472
8	3781	5	2.6336188
8	423	6	2.5230634
8	936	7	2.5185275
8	1087	8	2.4949286
8	1490	9	2.4169106
8	109	10	2.3726382
9	168	1	5.319312
9	604	2	5.15094
9	874	3	4.9902477
9	439	4	4.8007402
9	488	5	4.7833047
9	905	6	4.768255
9	539	7	4.69555
9	672	8	4.4244523
9	393	9	4.379153
9	454	10	4.3497305
11	1594	1	4.5571747
11	77	2	4.4773345
11	4021	3	3.931806
11	510	4	3.8754392
11	860	5	3.8103085
11	3781	6	3.8042252
11	1672	7	3.78823
11	1983	8	3.7498007
11	1112	9	3.626883
11	389	10	3.478519
12	4021	1	3.3930497
12	860	2	3.381104
12	3307	3	3.2596054
12	44	4	3.1909828
12	1983	5	3.1495824
12	1112	6	3.0989745
12	41	7	3.0880494
12	993	8	3.0279903
12	914	9	3.006025
12	389	10	2.8698874
14	1910	1	4.523369
14	148	2	4.38108
14	369	3	4.3106756
14	24	4	4.1977396
14	73	5	4.12385
14	82	6	3.9090562
14	485	7	3.9059339
14	213	8	3.8978906
14	1234	9	3.870926
14	2628	10	3.7975492
15	24	1	3.785641
15	82	2	3.51512
15	2576	3	3.447733
15	485	4	3.3539085
15	732	5	3.2220495
15	391	6	3.1496308
15	149	7	3.1200175
15	4	8	3.0929558
15	1313	9	3.0063438
15	823	10	2.908525
16	3781	1	3.4726133
16	510	2	3.249494
16	172	3	2.9578872
16	44	4	2.8723223
16	41	5	2.8156672
16	322	6	2.6434958
16	993	7	2.6399972
16	1983	8	2.6335764
16	860	9	2.5677311
16	80	10	2.5649548
17	895	1	5.0757194
17	24	2	4.731374
17	73	3	4.63877
17	82	4	4.5438867
17	213	5	4.428995
17	485	6	4.297374
17	732	7	4.0986857
17	391	8	4.082864
17	149	9	3.9850209
17	4	10	3.9059625
18	3273	1	4.5804386
18	1359	2	4.442476
18	1341	3	4.3316417
18	3781	4	3.782516
18	510	5	3.7774773
18	1672	6	3.4916205
18	1112	7	3.410322
18	172	8	3.331832
18	80	9	3.2191138
18	389	10	3.203777
19	82	1	3.3742032
19	945	2	3.1687875
19	485	3	3.096333
19	14	4	2.9690967
19	1863	5	2.9398317
19	901	6	2.921632
19	732	7	2.828607
19	391	8	2.826387
19	371	9	2.7927165
19	1526	10	2.6970382
20	24	1	3.6222587
20	82	2	3.3545997
20	485	3	3.1694098
20	391	4	3.0455823
20	945	5	3.0050035
20	4	6	2.9645429
20	732	7	2.9196534
20	185	8	2.8243413
20	149	9	2.7058458
20	692	10	2.6973605
21	168	1	5.2598295
21	807	2	4.958271
21	604	3	4.9305906
21	72	4	4.907855
21	823	5	4.899088
21	1410	6	4.8754587
21	551	7	4.7721033
21	81	8	4.744191
21	911	9	4.735191
21	439	10	4.7228475
22	353	1	4.1303816
22	3273	2	3.8641005
22	389	3	3.8326025
22	1359	4	3.6062698
22	2125	5	3.4496999
22	3251	6	3.359907
22	141	7	3.3077254
22	1854	8	3.1022499
22	3781	9	3.082152
22	126	10	3.0586088
23	95	1	4.5315633
23	3074	2	3.87838
23	3072	3	3.8368719
23	622	4	3.7543135
23	1868	5	3.7169566
23	108	6	3.6664262
23	2628	7	3.624316
23	492	8	3.6081603
23	3075	9	3.5923991
23	19	10	3.566861
24	936	1	4.653186
24	4020	2	4.3496943
24	1594	3	3.8584697
24	77	4	3.675778
24	3781	5	3.6256876
24	1672	6	3.4462376
24	172	7	3.389363
24	1112	8	3.3030295
24	44	9	3.2771404
24	80	10	3.2746887
25	3273	1	4.3377113
25	1359	2	4.1134844
25	1341	3	3.9678674
25	510	4	3.6275854
25	860	5	3.2466855
25	172	6	3.1943007
25	80	7	3.190777
25	4021	8	3.1370819
25	322	9	3.1256275
25	1672	10	2.961407
26	936	1	3.3183591
26	4020	2	3.022088
26	1594	3	2.7824244
26	77	4	2.5964818
26	80	5	2.314725
26	860	6	2.253737
26	3307	7	2.1955025
26	1983	8	2.1259255
26	4021	9	2.0851574
26	389	10	2.0655255
27	353	1	4.6612186
27	109	2	4.482593
27	1359	3	4.4415884
27	3273	4	4.26408
27	1341	5	4.2294035
27	936	6	4.1781254
27	3781	7	3.8764648
27	1672	8	3.7334952
27	4020	9	3.7151828
27	510	10	3.577688
28	439	1	5.2513714
28	488	2	5.05296
28	393	3	4.731365
28	672	4	4.710948
28	4029	5	4.5694985
28	1091	6	4.4230933
28	109	7	4.417161
28	58	8	4.342368
28	4020	9	4.2116613
28	1066	10	4.1572843
29	353	1	4.1428604
29	1359	2	3.7648036
29	3273	3	3.715053
29	1341	4	3.5245154
29	1112	5	3.2981558
29	510	6	3.099069
29	44	7	2.9610143
29	3781	8	2.928495
29	4021	9	2.8752341
29	41	10	2.8740382
30	622	1	4.148331
30	492	2	4.1301484
30	108	3	4.122549
30	3075	4	4.0352697
30	895	5	3.9536543
30	369	6	3.8515453
30	24	7	3.6921794
30	1449	8	3.6838694
30	2628	9	3.6007142
30	1697	10	3.47052
31	485	1	3.8600287
31	391	2	3.657755
31	732	3	3.6182547
31	149	4	3.5714192
31	4	5	3.5205972
31	185	6	3.471701
31	823	7	3.4493403
31	1701	8	3.4037151
31	982	9	3.3019004
31	515	10	3.2407098
32	1359	1	4.440839
32	1341	2	4.31153
32	510	3	3.74675
32	860	4	3.6543195
32	4021	5	3.6486862
32	1672	6	3.647741
32	3781	7	3.6444664
32	1983	8	3.538566
32	1112	9	3.4414296
32	172	10	3.3974571
33	1341	1	3.8675804
33	439	2	3.7214923
33	3781	3	3.6704237
33	510	4	3.3781033
33	109	5	3.3091407
33	44	6	3.282946
33	672	7	3.2227163
33	4029	8	3.0383801
33	41	9	3.01539
33	277	10	2.9184484
34	2339	1	4.9938374
34	611	2	4.985563
34	1582	3	4.9521136
34	60	4	4.845103
34	270	5	4.6914725
34	543	6	4.625247
34	962	7	4.608121
34	1742	8	4.5930305
34	3085	9	4.547113
34	78	10	4.5459776
35	539	1	5.403408
35	393	2	5.2037277
35	1594	3	4.860239
35	58	4	4.773511
35	1091	5	4.722703
35	1066	6	4.687521
35	353	7	4.5291796
35	1983	8	4.299802
35	3273	9	4.2588634
35	1359	10	4.030033
36	439	1	4.5005426
36	672	2	3.8339071
36	109	3	3.537386
36	936	4	3.3836136
36	1112	5	3.112988
36	4020	6	3.0664866
36	1672	7	3.019281
36	993	8	2.9932375
36	90	9	2.8292716
36	3307	10	2.8274841
37	604	1	3.9872456
37	172	2	3.4667234
37	1341	3	3.4498897
37	3795	4	3.4121456
37	439	5	3.3528337
37	1066	6	3.198019
37	672	7	3.143581
37	571	8	2.9635096
37	2217	9	2.9595592
37	3781	10	2.8639379
38	439	1	3.4925942
38	672	2	3.0554242
38	3307	3	2.8999996
38	45	4	2.7765198
38	936	5	2.737888
38	109	6	2.7036028
38	1594	7	2.3357975
38	90	8	2.312153
38	805	9	2.2516322
38	4020	10	2.2248063
39	735	1	3.542352
39	1234	2	3.410707
39	1868	3	3.3502717
39	1648	4	3.340543
39	1697	5	3.335575
39	192	6	3.2788062
39	489	7	2.9228575
39	534	8	2.8886695
39	134	9	2.692207
39	485	10	2.6577744
40	1091	1	4.751194
40	58	2	4.7163663
40	353	3	4.5811357
40	1066	4	4.48584
40	3273	5	4.4063683
40	1359	6	4.0923605
40	1341	7	3.979488
40	389	8	3.9280663
40	2125	9	3.5692682
40	510	10	3.4943998
41	383	1	4.2909613
41	2093	2	4.249276
41	944	3	4.1041737
41	1910	4	4.067484
41	391	5	4.0443473
41	34	6	4.0093374
41	148	7	3.9965525
41	149	8	3.9019485
41	4	9	3.8231277
41	1701	10	3.6854818
42	3273	1	3.538685
42	353	2	3.4941754
42	389	3	3.2933807
