user_id	item_id	rank	score
88	351	1	5.1486197
88	231	2	4.0006485
88	1139	3	4.8562512
88	3929	4	4.173156
88	622	5	4.139468
88	2060	6	4.350458
88	49	7	4.0942326
88	1066	8	3.8113978
88	84	9	4.006237
88	1484	10	2.9484608
933	53	1	4.442601
933	108	2	4.22519
933	913	3	4.2297235
933	28	4	3.2722054
933	1926	5	5.1025295
933	2942	6	2.762845
933	7	7	4.162913
933	172	8	4.354231
933	1484	9	4.965336
933	95	10	4.1169233
858	372	1	4.021945
858	213	2	4.721762
858	351	3	3.9864888
858	3929	4	3.31921
858	455	5	3.1013708
858	225	6	3.730919
858	920	7	3.8419044
858	1066	8	4.0167007
858	1701	9	3.75744
858	221	10	3.5234098
884	631	1	5.310501
884	213	2	5.2946124
884	311	3	5.2695055
884	495	4	4.942858
884	71	5	4.911014
884	225	6	4.725896
884	1449	7	4.969157
884	694	8	4.2726207
884	278	9	4.6360826
884	221	10	4.424267
549	1139	1	4.419181
549	231	2	2.498259
549	161	3	3.9610395
549	901	4	3.749864
549	4016	5	4.1363826
549	2060	6	2.671463
549	733	7	3.8884754
549	2502	8	4.019936
549	2390	9	3.6208987
549	1452	10	2.2637405
67	351	1	4.0721517
67	1582	2	3.8012927
67	216	3	4.00774
67	28	4	3.7146795
67	622	5	3.0604076
67	2060	6	3.3069818
67	798	7	3.713951
67	2502	8	3.786417
67	3718	9	3.6756203
67	1484	10	2.4491963
701	139	1	4.4894896
701	1526	2	4.2169094
701	501	3	4.4790506
701	28	4	3.8751104
701	2800	5	4.267807
701	2060	6	3.1814342
701	2125	7	3.8259673
701	2502	8	3.1328177
701	1794	9	4.6552973
701	717	10	3.808594
742	372	1	4.678649
742	231	2	4.474742
742	1449	3	4.386397
742	686	4	4.259703
742	55	5	4.1167135
742	225	6	4.152333
742	215	7	4.321929
742	694	8	4.269525
742	221	9	3.9768724
742	278	10	3.7870183
930	7	1	4.0551405
930	231	2	5.5400267
930	485	3	3.9607673
930	3929	4	5.2471275
930	1926	5	4.991729
930	2060	6	4.3849053
930	215	7	3.9073076
930	694	8	5.0286703
930	221	9	4.8824334
930	843	10	3.8917246
781	913	1	4.7487803
781	369	2	5.238578
781	19	3	4.607204
781	495	4	5.9864674
781	2503	5	5.800612
781	430	6	3.0911288
781	242	7	4.367031
781	172	8	3.8565018
781	539	9	4.640278
781	7	10	4.17881
878	196	1	4.245274
878	168	2	3.7825248
878	843	3	3.8349943
878	147	4	3.2507343
878	71	5	4.4841876
878	2942	6	2.7031603
878	456	7	3.721965
878	1197	8	4.3396664
878	242	9	3.6706758
878	4029	10	3.58563
190	3251	1	3.8920443
190	213	2	2.9391022
190	161	3	3.7687263
190	3929	4	3.7191696
190	2060	5	3.6291208
190	1863	6	2.0544422
190	717	7	3.6778607
190	1199	8	3.421693
190	3090	9	3.654958
190	1484	10	2.798729
682	219	1	3.9008617
682	1534	2	4.95502
682	227	3	3.8793318
682	303	4	3.8451028
682	622	5	3.086327
682	2942	6	3.5019264
682	2577	7	3.8496242
682	47	8	2.9510612
682	391	9	3.7521803
682	370	10	3.4258332
28	372	1	4.86626
28	24	2	4.4739575
28	485	3	4.383107
28	439	4	5.187268
28	71	5	4.270105
28	2942	6	3.0974123
28	0	7	4.310092
28	694	8	4.602675
28	732	9	4.2704964
28	539	10	3.3243384
799	196	1	3.9062095
799	238	2	4.296295
