user_id	item_id	rank	score
88	143	1	4.614134
88	1919	2	3.9777675
88	11	3	4.1103463
88	408	4	3.888742
88	1126	5	3.1311612
88	3286	6	3.7402267
88	2390	7	3.9609833
88	1353	8	3.1871657
88	1602	9	4.013062
88	515	10	3.660758
933	1925	1	4.5616817
933	2108	2	4.492954
933	672	3	4.511991
933	3273	4	3.943829
933	4016	5	4.683263
933	3220	6	3.6326466
933	333	7	4.454977
933	2502	8	2.7485101
933	1302	9	4.393476
933	456	10	4.2455406
858	29	1	4.161133
858	2110	2	3.6835604
858	913	3	4.1580973
858	754	4	3.282452
858	1983	5	4.014359
858	1003	6	2.8711042
858	641	7	4.107677
858	1199	8	3.6508038
858	63	9	4.0283356
858	1281	10	3.4758353
884	73	1	5.32572
884	238	2	5.9041405
884	3075	3	5.1057043
884	296	4	4.6100388
884	1161	5	5.2596645
884	114	6	3.8027399
884	1701	7	4.9519405
884	2502	8	4.1849093
884	492	9	4.9385643
884	1302	10	3.5907512
549	143	1	4.3011813
549	1919	2	3.88051
549	1374	3	4.202702
549	495	4	4.057523
549	430	5	4.8862777
549	3286	6	3.9614558
549	11	7	4.158365
549	1457	8	4.288866
549	1602	9	4.2512927
549	1410	10	4.0705776
67	3096	1	3.8304167
67	2044	2	3.3779287
67	311	3	3.6553872
67	376	4	4.3518386
67	1126	5	3.1612213
67	3286	6	2.7506137
67	1449	7	3.2849686
67	363	8	3.9900513
67	3085	9	3.241885
67	1602	10	3.1033134
701	702	1	5.0542307
701	369	2	5.055549
701	11	3	4.6440687
701	495	4	4.7026043
701	1863	5	4.7155747
701	3286	6	4.340502
701	753	7	4.596804
701	363	8	4.294928
701	1602	9	4.60719
701	62	10	4.560789
742	1466	1	4.405163
742	2110	2	4.4608965
742	210	3	3.6459131
742	147	4	4.3396177
742	1983	5	5.2076845
742	114	6	3.3617876
742	139	7	3.3044643
742	1025	8	2.9568887
742	156	9	5.08961
742	672	10	3.2322936
930	791	1	3.2864127
930	848	2	3.4074647
930	920	3	3.0961318
930	147	4	4.027525
930	58	5	3.7507443
930	114	6	3.2132826
930	1023	7	3.0891998
930	1025	8	2.5688887
930	156	9	4.464348
930	672	10	3.0041482
781	3075	1	5.182257
781	2110	2	5.4389086
781	210	3	4.7708073
781	754	4	4.4396706
781	4016	5	4.538275
781	114	6	4.5877504
781	333	7	3.9932308
781	2502	8	2.961247
781	156	9	4.6399126
781	1023	10	3.9198868
878	3075	1	3.6594968
878	2110	2	4.96294
878	77	3	3.387909
878	936	4	3.3815396
878	1161	5	4.1538553
878	114	6	4.5915837
878	109	7	3.214164
878	2502	8	2.686747
878	1112	9	3.185883
878	3138	10	2.1115358
190	1833	1	3.750247
190	1919	2	3.2520466
190	271	3	3.6557717
190	408	4	2.84468
190	1126	5	2.3427765
190	114	6	1.9126687
190	143	7	3.6324468
190	1457	8	3.1686735
190	839	9	3.2911258
190	1281	10	2.2183585
682	843	1	4.9770966
682	369	2	4.7909203
682	728	3	4.766474
682	635	4	5.1762686
682	55	5	4.314415
682	935	6	4.7005596
682	479	7	4.2971773
682	1732	8	3.2634869
682	1794	9	5.015769
682	3072	10	4.2859335
28	641	1	5.3440037
28	201	2	4.7723646
28	479	3	5.038131
28	147	4	4.940672
28	4016	5	3.946299
28	114	6	4.1224604
28	73	7	4.754718
28	1732	8	4.6952615
28	551	9	4.721081
28	1452	10	2.9816017
799	3075	1	4.3508253
799	431	2	4.393778
799	333	3	3.7704184
799	3273	4	3.5886939
799	58	5	3.349612
799	114	6	3.7765362
799	1368	7	3.4841597
799	1025	8	2.0523021
799	156	9	4.1825423
799	1925	10	3.40331
41	1115	1	4.751692
41	1919	2	3.4852784
41	1833	3	4.5402293
41	1277	4	3.8270473
41	1321	5	3.694374
41	114	6	2.6349244
41	271	7	4.3062468
41	363	8	3.841789
41	1410	9	4.1771393
41	919	10	4.011118
294	641	1	3.9408233
294	848	2	3.7033749
294	791	3	3.828607
294	147	4	3.0074759
294	2216	5	2.8037646
294	114	6	3.244625
294	479	7	3.5912771
294	1025	8	2.82527
294	156	9	4.790442
294	1693	10	3.3492258
331	728	1	5.2754364
331	201	2	5.0231934
331	551	3	5.164533
331	1134	4	6.0946155
331	70	5	4.5995345
331	114	6	3.8349516
331	73	7	5.0694637
331	2502	8	3.0749843
331	3074	9	4.668687
331	1302	10	4.0277386
415	1466	1	4.625046
415	848	2	3.3776164
415	791	3	3.3008509
415	147	4	4.170211
415	4016	5	3.236158
415	114	6	3.550776
415	210	7	3.2476969
415	2166	8	2.086204
415	156	9	4.5375786
415	139	10	3.0628657
679	258	1	4.1990457
679	1582	2	4.1704187
679	839	3	4.0812483
679	635	4	3.0958986
679	590	5	3.9833815
679	1321	6	2.77941
679	143	7	3.8046956
679	363	8	3.3297522
679	1602	9	3.9707255
679	886	10	3.6853752
493	29	1	3.7416391
493	231	2	3.9070385
493	1466	3	3.725536
493	1134	4	3.0274546
493	455	5	3.425037
493	1003	6	2.7161918
493	913	7	3.4847262
493	624	8	2.7046652
493	81	9	3.4676013
493	1602	10	3.3308249
751	3075	1	4.766865
751	431	2	4.7293715
751	333	3	3.6662579
751	147	4	4.828945
751	4016	5	3.774276
751	114	6	3.7667875
751	672	7	3.6496768
751	363	8	2.492456
751	210	9	3.6258917
751	1452	10	2.977988
8	485	1	3.7904916
8	46	2	3.450798
8	1701	3	3.6569324
8	1134	4	2.3485465
8	620	5	3.661182
8	2195	6	2.0930936
8	393	7	3.4178128
8	3281	8	2.853556
8	551	9	3.1121697
8	1602	10	2.8194351
55	3073	1	5.3976326
55	238	2	5.3235884
55	82	3	4.9533215
55	635	4	5.423888
55	70	5	4.182207
55	114	6	3.4203596
55	1011	7	4.9439716
55	3281	8	5.563616
55	1701	9	4.881849
55	1302	10	3.5893545
262	3096	1	3.1652923
262	1341	2	2.9534771
262	270	3	2.6455402
262	495	4	2.8519578
262	3286	5	3.223063
262	55	6	2.2045054
262	2032	7	2.633834
262	363	8	3.9442747
262	1602	9	3.0031698
262	237	10	2.6299772
376	3072	1	4.9201307
376	721	2	3.8216426
376	11	3	4.8290486
376	635	4	4.350322
376	3286	5	4.6782
376	55	6	3.697216
376	913	7	4.592979
376	363	8	4.229053
376	515	9	4.5556154
376	919	10	4.152361
760	1466	1	4.739952
760	2110	2	4.470111
760	791	3	4.0626693
760	1134	4	5.250517
760	1983	5	5.138463
760	114	6	3.517535
760	210	7	3.6770093
760	1199	8	4.938796
760	156	9	5.5688667
760	50	10	3.4880095
387	843	1	4.4828715
387	821	2	4.9552455
387	196	3	4.3789334
387	439	4	4.7840447
387	1983	5	4.569912
387	935	6	4.068119
387	258	7	4.2791243
387	200	8	4.7372513
387	1794	9	4.2695856
387	3718	10	4.244336
812	1925	1	4.222836
812	431	2	5.2291303
812	1368	3	3.940614
812	3273	4	3.7686334
812	58	5	3.9032438
812	3220	6	3.2261078
812	210	7	3.7230344
812	1025	8	2.2908592
812	672	9	3.5897489
812	1452	10	2.7899017
395	3073	1	4.656807
