user_id	item_id	rank	score
1	2217	1	6.478781
1	0	2	6.4780235
1	1263	3	5.8757596
1	389	4	5.7817993
1	90	5	5.7277584
1	277	6	5.6508055
1	530	7	5.579713
1	1511	8	5.5766616
1	1983	9	5.505164
1	860	10	5.501938
2	2217	1	5.3371015
2	389	2	5.2850018
2	860	3	4.9623137
2	3251	4	4.9378033
2	914	5	4.863916
2	1263	6	4.809187
2	90	7	4.7152977
2	2125	8	4.6920333
2	277	9	4.6546636
2	4021	10	4.6505566
3	379	1	4.216337
3	1843	2	3.9122636
3	1539	3	3.737527
3	201	4	3.670896
3	627	5	3.6625223
3	381	6	3.5417843
3	151	7	3.5007677
3	2965	8	3.3867698
3	4050	9	3.3031557
3	353	10	3.2677894
4	688	1	4.390294
4	1688	2	4.087421
4	3275	3	3.9685311
4	1755	4	3.7127333
4	1681	5	3.3867052
4	937	6	3.3749557
4	1029	7	3.347457
4	1129	8	3.2737846
4	1321	9	2.8896146
4	318	10	2.8430092
5	580	1	4.552341
5	1016	2	4.4145613
5	304	3	4.323635
5	252	4	4.2109575
5	4016	5	4.0780263
5	1689	6	3.9910352
5	2449	7	3.9828718
5	1526	8	3.8712769
5	614	9	3.8267877
5	539	10	3.8160331
6	141	1	3.3388934
6	1129	2	3.2335262
6	937	3	2.8264258
6	1029	4	2.8236833
6	248	5	2.6264448
6	798	6	2.483453
6	318	7	2.406097
6	161	8	2.3394578
6	948	9	2.3138494
6	176	10	2.236147
7	515	1	3.475544
7	558	2	3.181046
7	1980	3	3.0371346
7	1326	4	3.0012116
7	1580	5	2.9497151
7	1964	6	2.9275575
7	3801	7	2.8643723
7	1199	8	2.7288773
7	1256	9	2.6904778
7	982	10	2.6542559
8	848	1	3.4777493
8	252	2	3.417358
8	1926	3	3.1309774
8	203	4	2.5535064
8	1139	5	2.5280023
8	633	6	2.45933
8	147	7	2.3622801
8	55	8	2.3476384
8	96	9	2.3159776
8	1083	10	2.292088
9	1926	1	5.5503435
9	2217	2	5.251108
9	3307	3	5.163419
9	147	4	4.8501363
9	914	5	4.7482653
9	985	6	4.7191877
9	1263	7	4.698698
9	90	8	4.69277
9	277	9	4.673754
9	1139	10	4.6280465
11	848	1	5.192171
11	688	2	4.582068
11	96	3	4.5437307
11	3275	4	4.4257293
11	1688	5	4.2447777
11	1129	6	4.0465837
11	1029	7	3.5248013
11	1681	8	3.311252
11	1755	9	3.2497344
11	948	10	3.0779927
12	405	1	2.8018546
12	2503	2	2.6333494
12	296	3	2.619127
12	805	4	2.5986898
12	1755	5	2.5760765
12	2036	6	2.5188398
12	176	7	2.5045996
12	1681	8	2.442474
12	937	9	2.3376956
12	1007	10	2.3080363
14	2449	1	4.768944
14	1526	2	4.3688183
14	371	3	4.317673
14	4016	4	4.1509686
14	1332	5	4.125681
14	379	6	3.921974
14	14	7	3.8380132
14	184	8	3.6952467
14	1843	9	3.547589
14	353	10	3.5445561
15	379	1	4.0070724
15	627	2	3.5645516
15	381	3	3.549781
15	1539	4	3.4835846
15	151	5	3.2528596
15	125	6	3.0290492
15	558	7	3.0071726
15	339	8	2.851153
15	252	9	2.8497047
15	4050	10	2.8362532
16	1083	1	3.4946613
16	1755	2	3.297001
16	1854	3	3.2666655
16	937	4	3.2050333
16	141	5	3.0491614
16	1029	6	2.8018389
16	1129	7	2.7391696
16	318	8	2.552454
16	1633	9	2.481227
16	248	10	2.3472037
17	1526	1	4.538435
17	371	2	4.3808928
17	4016	3	4.296877
17	14	4	4.0557694
17	379	5	4.008113
17	353	6	3.9496522
17	1843	7	3.7523403
17	1484	8	3.5976543
17	123	9	3.5349298
17	627	10	3.491432
18	688	1	4.2863398
18	96	2	4.2806635
18	1688	3	4.006915
18	3275	4	3.8694272
18	1029	5	3.2991061
18	948	6	3.1138167
18	798	7	3.0560277
18	161	8	2.9841495
18	1681	9	2.913808
18	405	10	2.8820515
19	1484	1	3.0267482
19	151	2	3.0230224
19	1199	3	2.9918866
19	4050	4	2.90134
19	278	5	2.7747312
19	123	6	2.7648442
19	252	7	2.7335424
19	411	8	2.6640592
19	587	9	2.645402
19	135	10	2.5610452
20	1539	1	3.2944689
20	151	2	3.103283
20	558	3	3.01608
20	252	4	2.9790833
20	488	5	2.844802
20	3795	6	2.7140167
20	1069	7	2.7001853
20	4050	8	2.6821718
20	1256	9	2.6500044
20	901	10	2.6097107
21	860	1	5.0020943
21	3251	2	4.7362285
21	2125	3	4.6396675
21	172	4	4.493969
21	993	5	4.4479823
21	1926	6	4.4433107
21	3781	7	4.421539
21	1359	8	4.3891797
21	3307	9	4.254451
21	1672	10	4.2415385
22	90	1	4.603606
22	1156	2	4.2824078
22	625	3	4.1829367
22	848	4	4.1376967
22	1406	5	4.103223
22	96	6	3.5999331
22	688	7	3.502972
22	1688	8	3.2361553
22	296	9	2.9816356
22	3275	10	2.9612453
23	304	1	4.347299
23	1693	2	4.3079205
