user_id	item_id	rank	score
0	919	1	0.22854438
0	630	2	0.21389112
0	987	3	0.17969154
0	315	4	0.17674959
0	119	5	0.14255115
0	439	6	0.14072846
0	395	7	0.13342589
0	943	8	0.13011616
0	32	9	0.12759113
0	743	10	0.12238547
1	114	1	0.21810926
1	155	2	0.18055606
1	339	3	0.1314737
1	373	4	0.12921205
1	43	5	0.12840316
1	361	6	0.119340226
1	801	7	0.11771359
1	239	8	0.117384866
1	725	9	0.10983812
1	856	10	0.10908065
2	9	1	0.27517766
2	987	2	0.20180328
2	103	3	0.12968594
2	119	4	0.12410417
2	461	5	0.12313643
2	487	6	0.117859356
2	184	7	0.11414423
2	330	8	0.11092861
2	471	9	0.11045852
2	643	10	0.10956843
3	619	1	0.21483117
3	9	2	0.20014003
3	585	3	0.1653322
3	43	4	0.16076533
3	250	5	0.14172937
3	79	6	0.13117644
3	95	7	0.12345818
3	714	8	0.118120395
3	644	9	0.117944255
3	342	10	0.116570204
4	95	1	0.23622738
4	9	2	0.1554091
4	644	3	0.15001345
4	56	4	0.1412354
4	186	5	0.13641232
4	612	6	0.11864532
4	506	7	0.1168848
4	297	8	0.11300655
4	346	9	0.11251721
4	924	10	0.11065762
5	49	1	0.1758977
5	137	2	0.149876
5	361	3	0.14406647
5	930	4	0.13557732
5	619	5	0.1263939
5	344	6	0.12318614
5	895	7	0.12292878
5	342	8	0.12065297
5	98	9	0.11534725
5	987	10	0.10671998
6	630	1	0.5023563
6	56	2	0.33131915
6	315	3	0.3101415
6	987	4	0.30275965
6	619	5	0.3021744
6	524	6	0.21778817
6	766	7	0.20029709
6	644	8	0.19697437
6	919	9	0.1969096
6	643	10	0.18865204
7	95	1	0.33687928
7	266	2	0.25150207
7	185	3	0.20952131
7	269	4	0.17867437
7	612	5	0.17635982
7	448	6	0.17228015
7	945	7	0.16951841
7	896	8	0.16611516
7	527	9	0.16061412
7	43	10	0.1529246
8	185	1	0.17305079
8	706	2	0.15493236
8	32	3	0.12822086
8	654	4	0.12225397
8	987	5	0.12085469
8	376	6	0.11880752
8	633	7	0.11294473
8	399	8	0.10726617
8	661	9	0.10649975
8	11	10	0.101828255
9	830	1	0.15682355
9	740	2	0.1523214
9	943	3	0.14391893
9	662	4	0.13689244
9	160	5	0.13224858
9	839	6	0.1199441
9	114	7	0.11806409
9	3	8	0.11319022
9	56	9	0.109458715
9	463	10	0.10614974
10	266	1	0.14823776
10	618	2	0.14815348
10	535	3	0.13794199
10	77	4	0.1332395
10	847	5	0.12830228
10	137	6	0.12570152
10	898	7	0.12471582
10	475	8	0.12438671
10	634	9	0.12094435
10	479	10	0.11923499
11	909	1	0.16220692
11	43	2	0.14543386
11	556	3	0.1300085
11	364	4	0.11594005
11	375	5	0.110663675
11	95	6	0.109696195
11	844	7	0.09680769
11	894	8	0.091706365
11	567	9	0.08912614
11	94	10	0.08809543
12	909	1	0.18789938
12	894	2	0.16232502
12	384	3	0.14009097
12	298	4	0.13291422
12	446	5	0.12907279
12	986	6	0.11746541
12	95	7	0.11369926
12	839	8	0.11242312
12	634	9	0.1071462
12	240	10	0.10652669
13	185	1	0.25102395
13	370	2	0.23303339
13	919	3	0.23061517
13	633	4	0.22386247
13	55	5	0.20921594
13	894	6	0.19818006
13	78	7	0.19273372
13	924	8	0.15206082
13	749	9	0.14979693
13	446	10	0.14863506
14	838	1	0.22297436
14	369	2	0.1916503
14	21	3	0.17374954
14	372	4	0.17325108
14	742	5	0.16120142
14	126	6	0.158191
14	405	7	0.15723063
14	950	8	0.14954776
14	96	9	0.14656934
14	972	10	0.1462834
15	182	1	0.19629598
15	185	2	0.19324517
15	540	3	0.15823853
15	290	4	0.13098061
15	211	5	0.12884961
15	917	6	0.12802286
15	384	7	0.12157972
15	470	8	0.12002494
15	752	9	0.119315
15	312	10	0.11558393
16	74	1	0.16011968
16	17	2	0.15008318
16	419	3	0.1450216
16	14	4	0.14223339
16	240	5	0.13905706
16	961	6	0.13443235
16	216	7	0.12873045
16	408	8	0.12762783
16	612	9	0.12444994
16	176	10	0.11158411
17	262	1	0.17097098
17	60	2	0.15693504
17	65	3	0.13258672
17	966	4	0.12312809
17	388	5	0.11739321
17	944	6	0.11563212
17	632	7	0.11525132
17	633	8	0.111151636
17	266	9	0.11028956
17	607	10	0.107923426
18	810	1	0.16040628
18	919	2	0.15933712
18	58	3	0.1422349
18	442	4	0.12048652
18	332	5	0.1159305
18	696	6	0.11273688
18	457	7	0.105602145
18	633	8	0.10224303
18	283	9	0.09792578
18	403	10	0.09518024
19	384	1	0.26936135
19	703	2	0.228629
19	58	3	0.22228368
19	56	4	0.19555843
19	238	5	0.19218495
19	736	6	0.16797066
19	754	7	0.16008528
19	226	8	0.15839538
19	262	9	0.15316948
19	241	10	0.15107659
20	630	1	0.46311748
20	43	2	0.4277106
20	919	3	0.3670155
20	987	4	0.27844828
20	315	5	0.2719429
20	644	6	0.2588552
20	570	7	0.2051715
20	56	8	0.20334208
20	926	9	0.20297357
20	698	10	0.18840596
21	322	1	0.15902187
21	570	2	0.1278399
21	27	3	0.1264092
21	202	4	0.12584744
21	686	5	0.11675399
21	820	6	0.110328816
21	580	7	0.10261578
21	502	8	0.10253072
21	182	9	0.10150599
21	896	10	0.10132
22	384	1	0.17191398
22	736	2	0.13667029
22	402	3	0.12943588
22	56	4	0.12827417
22	661	5	0.12748444
22	440	6	0.12647846
22	876	7	0.12406073
22	176	8	0.1161256
22	639	9	0.115616836
22	311	10	0.11287467
23	321	1	0.16590741
23	749	2	0.15015675
23	550	3	0.14584278
23	564	4	0.14050144
23	704	5	0.13474557
23	988	6	0.13457888
23	188	7	0.13453333
23	9	8	0.13407105
23	104	9	0.13293242
23	423	10	0.12412517
24	526	1	0.23793152
24	630	2	0.21211405
24	311	3	0.18318838
24	384	4	0.18206853
24	95	5	0.17812914
24	361	6	0.17241608
24	324	7	0.1698567
24	267	8	0.15702455
24	395	9	0.15308477
24	83	10	0.13923255
25	463	1	0.21217796
25	704	2	0.17401087
25	163	3	0.14749876
25	455	4	0.11363739
25	384	5	0.10532701
25	817	6	0.10310152
25	43	7	0.10217962
25	965	8	0.10163149
25	371	9	0.10021235
25	16	10	0.099070296
26	911	1	0.111350164
26	644	2	0.10803117
26	549	3	0.107908875
26	311	4	0.10523904
26	471	5	0.10203661
26	398	6	0.09435831
26	833	7	0.093386725
26	58	8	0.09244108
26	555	9	0.09238008
26	317	10	0.09011932
27	630	1	0.22018147
27	361	2	0.18345228
27	136	3	0.16597159
27	988	4	0.14768958
27	926	5	0.14462575
27	506	6	0.13315903
27	120	7	0.13206047
27	835	8	0.12967
27	375	9	0.12713434
27	153	10	0.12655802
28	265	1	0.21217923
28	449	2	0.19589975
28	182	3	0.19014862
28	696	4	0.18194354
28	984	5	0.17465445
28	493	6	0.15952423
28	18	7	0.15207158
28	898	8	0.15093407
28	219	9	0.14089355
28	960	10	0.13168031
29	898	1	0.26661214
29	704	2	0.20658821
29	762	3	0.18981698
29	353	4	0.16167212
29	749	5	0.15398002
29	585	6	0.15306804
29	269	7	0.14042315
29	184	8	0.12591054
29	322	9	0.124516845
29	240	10	0.12143208
30	269	1	0.23719175
30	247	2	0.17328088
30	119	3	0.15615305
30	554	4	0.14631629
30	987	5	0.13746473
30	612	6	0.13730693
30	156	7	0.13587216
30	316	8	0.13529181
30	930	9	0.13355216
30	960	10	0.13340883
31	265	1	0.19231462
31	376	2	0.1540727
31	839	3	0.14695933
31	238	4	0.14276147
31	310	5	0.13880569
31	25	6	0.13086323
31	586	7	0.12957409
31	648	8	0.12575972
31	482	9	0.123165876
31	42	10	0.12284355
32	526	1	0.14653587
32	384	2	0.12578505
32	206	3	0.123138055
32	56	4	0.11994517
32	234	5	0.11944157
32	612	6	0.11838317
32	470	7	0.118326575
32	605	8	0.116277084
32	867	9	0.11276683
32	735	10	0.11119578
33	706	1	0.18124205
33	44	2	0.1493963
33	353	3	0.14693274
33	131	4	0.1443756
33	95	5	0.13661169
33	2	6	0.13378072
33	934	7	0.13166161
33	179	8	0.13070121
33	416	9	0.12785968
33	503	10	0.12783211
34	370	1	0.26827288
34	527	2	0.20627762
34	95	3	0.15121418
34	361	4	0.1450195
34	262	5	0.1418134
34	522	6	0.13676837
34	482	7	0.1367254
34	949	8	0.13579407
34	627	9	0.12039906
34	11	10	0.120264746
35	9	1	0.14394024
35	761	2	0.13005199
35	644	3	0.11677392
35	208	4	0.1083324
35	586	5	0.107075535
35	323	6	0.10679536
35	511	7	0.106215745
35	706	8	0.10588713
35	628	9	0.104600996
35	889	10	0.10289616
36	553	1	0.15177903
36	838	2	0.1503189
36	749	3	0.14314209
36	326	4	0.14188035
36	574	5	0.14051633
36	769	6	0.12722912
36	126	7	0.12317252
36	762	8	0.11955758
36	491	9	0.11806151
36	11	10	0.10864295
37	384	1	0.19824967
37	942	2	0.18375951
37	322	3	0.18364245
37	966	4	0.15622765
37	18	5	0.15042558
37	182	6	0.14404593
37	326	7	0.12713844
37	442	8	0.115872204
37	506	9	0.11468954
37	289	10	0.111736655
38	630	1	0.17694023
38	527	2	0.15764323
38	571	3	0.15181369
38	491	4	0.14979112
38	234	5	0.14768869
38	572	6	0.14668229
38	9	7	0.14667708
38	987	8	0.13297163
38	917	9	0.12819235
38	182	10	0.12635912
39	322	1	0.20653118
39	585	2	0.20508413
39	343	3	0.19173934
39	104	4	0.18734589
39	10	5	0.17152794
39	442	6	0.17015618
39	859	7	0.16888483
39	383	8	0.15707037
39	250	9	0.15541176
39	976	10	0.14679286
40	9	1	0.21366
40	58	2	0.17222512
40	705	3	0.16961241
40	630	4	0.15318704
40	56	5	0.14862064
40	619	6	0.1484205
40	326	7	0.14648509
40	810	8	0.14004107
40	365	9	0.12704593
40	247	10	0.12626593
41	315	1	0.208779
41	619	2	0.19239527
41	630	3	0.18200143
41	395	4	0.16999844
41	49	5	0.14323992
41	574	6	0.1367231
41	269	7	0.12462025
41	288	8	0.11880492
41	119	9	0.11800924
41	427	10	0.11580154
42	628	1	0.16370794
42	788	2	0.118077956
42	748	3	0.11779957
42	84	4	0.11747359
42	574	5	0.1162392
42	785	6	0.11476098
42	887	7	0.10780418
42	305	8	0.102040984
42	311	9	0.09945924
42	491	10	0.09853364
43	457	1	0.19739202
43	952	2	0.1627389
43	972	3	0.14775896
43	467	4	0.14757988
43	853	5	0.14719334
43	252	6	0.14026979
43	26	7	0.13102716
43	415	8	0.12788785
43	673	9	0.12657681
