NL	37	m	0
FI	35	m	1
UK	42	m	2
US	27	m	3
DE	27	m	4
AU	35	m	5
AU	31	m	6
US	25	f	7
SE	33	f	8
UK	24	m	9
UK	37	m	10
FI	37	m	11
FI	26	m	12
BR	32	m	13
SE	28	m	14
US	29	m	15
US	25	m	16
US	33	m	17
DE	24	m	18
SJ	23	m	19
MX	26	m	20
FI	31	m	21
PL	30	m	22
CA	30	f	23
US	27	m	24
NL	29	m	25
US	36	f	26
PL	37	m	27
US	24	f	28
SE	43	m	29
US	24	m	30
UK	28	m	31
FR	33	m	32
NO	34	m	33
UK	28	m	34
SE	37	m	35
US	24	f	36
CO	25	m	37
BR	27	m	38
FI	29	m	39
US	24	f	40
RO	27	m	41
HU	22	f	42
DE	22	m	43
JP	29	m	44
FI	42	m	45
US	30	m	46
UK	34	m	47
SE	23	m	48
US	36	m	49
MX	29	f	50
US	26	f	51
UK	22	m	52
BE	39	m	53
BR	24	m	54
BR	23	m	55
AU	24	f	56
NO	23	f	57
US	25	m	58
GR	30	m	59
MU	23	m	60
US	39	m	61
UK	25	m	62
DK	48	m	63
DE	61	m	64
BR	22	m	65
NO	30	m	66
AU	32	m	67
US	22	m	68
BR	32	m	69
RU	27	m	70
SE	32	m	71
FR	26	m	72
UK	33	m	73
US	24	m	74
DE	33	m	75
DZ	24	m	76
US	34	m	77
NL	24	m	78
CA	33	m	79
US	26	f	80
BR	25	m	81
NO	30	m	82
NO	26	m	83
UK	32	m	84
PL	29	f	85
UK	23	m	86
IT	26	f	87
BR	26	f	88
SE	23	m	89
FR	27	m	90
BR	24	m	91
CA	26	m	92
NO	29	m	93
NL	34	m	94
CA	25	f	95
FI	29	m	96
DE	28	m	97
UK	25	m	98
CZ	27	m	99
DK	20	m	100
DE	31	m	101
SE	21	m	102
HR	27	m	103
FI	41	m	104
BR	32	m	105
IT	23	m	106
DO	35	m	107
US	26	f	108
DK	22	m	109
DE	32	m	110
DE	24	m	111
UK	29	m	112
DE	26	m	113
US	22	f	114
US	30	f	115
BR	25	m	116
DE	23	m	117
PL	26	m	118
UK	48	m	119
UK	31	m	120
SE	42	m	121
PL	28	m	122
JP	28	m	123
BR	27	m	124
HU	22	f	125
FI	28	m	126
RS	25	m	127
IT	32	m	128
DK	36	m	129
TR	24	f	130
DE	23	m	131
UK	49	m	132
NO	37	m	133
ES	29	m	134
DE	23	m	135
BR	28	f	136
ES	27	m	137
US	40	m	138
NL	20	m	139
PL	19	m	140
AU	30	m	141
TH	19	f	142
UK	21	f	143
US	25	m	144
FR	37	m	145
SE	28	m	146
AT	28	m	147
US	40	m	148
RU	23	m	149
LV	22	f	150
UK	41	m	151
RU	33	m	152
ES	26	m	153
PL	38	m	154
RU	21	f	155
NL	26	m	156
ES	39	m	157
GR	24	m	158
DE	29	f	159
BR	26	f	160
DE	30	m	161
UK	23	m	162
RU	29	m	163
CZ	28	f	164
US	31	m	165
IT	29	m	166
DE	28	m	167
FR	27	m	168
SE	20	f	169
US	23	m	170
NL	24	m	171
US	34	m	172
DE	21	m	173
SE	20	f	174
UK	31	m	175
UK	23	m	176
PL	26	m	177
NL	30	m	178
PL	26	m	179
FI	30	m	180
AT	26	m	181
MX	22	f	182
EE	18	f	183
IT	27	m	184
SE	28	m	185
HR	26	m	186
UK	21	m	187
UA	26	m	188
IE	29	m	189
CY	26	f	190
US	22	f	191
US	25	m	192
PL	35	m	193
CZ	21	m	194
NL	27	m	195
CA	27	f	196
PL	21	f	197
CA	21	m	198
RU	24	m	199
US	38	m	200
PL	26	f	201
US	23	m	202
SE	25	m	203
SI	21	m	204
SE	31	m	205
US	24	f	206
BR	23	m	207
RU	25	m	208
DE	51	m	209
US	32	m	210
CA	22	m	211
PL	25	f	212
UK	25	f	213
LT	19	m	214
PL	25	m	215
EG	23	m	216
NL	32	m	217
NL	27	m	218
UK	37	m	219
RU	29	f	220
PL	28	m	221
PL	22	m	222
DE	24	m	223
UK	40	m	224
JP	56	m	225
NL	33	m	226
CH	27	f	227
UK	22	m	228
VN	34	m	229
US	22	m	230
BR	21	f	231
US	22	m	232
US	25	m	233
SE	44	m	234
FI	21	f	235
TR	23	m	236
IT	24	m	237
BY	28	m	238
BG	19	f	239
ES	33	m	240
UK	20	f	241
US	92	m	242
FR	32	m	243
PL	23	f	244
AR	27	m	245
DE	29	m	246
CO	31	m	247
UK	38	m	248
RU	31	f	249
PL	20	f	250
BR	21	m	251
NO	20	m	252
FI	23	m	253
BR	28	m	254
US	22	m	255
RU	25	f	256
NL	24	f	257
UK	22	f	258
BR	22	f	259
GR	28	m	260
RU	31	m	261
BR	23	m	262
AR	34	m	263
PL	33	m	264
PL	36	m	265
NO	19	m	266
MX	30	m	267
PL	32	m	268
BR	22	m	269
DE	50	m	270
PL	20	f	271
PL	21	m	272
BR	21	m	273
HU	30	m	274
BY	25	m	275
TR	33	m	276
TR	24	f	277
LV	20	m	278
CO	22	m	279
PL	25	m	280
CL	95	f	281
LV	22	m	282
AT	24	m	283
PL	41	m	284
CA	31	m	285
DK	19	m	286
US	22	m	287
UK	20	m	288
UK	19	m	289
FR	22	m	290
PL	28	m	291
BR	23	m	292
UK	29	m	293
ID	27	m	294
SE	22	f	295
FR	26	m	296
AR	22	f	297
PL	17	f	298
SE	28	m	299
CA	22	m	300
DE	34	m	301
CZ	21	f	302
DE	22	m	303
BR	22	m	304
US	21	f	305
CZ	23	m	306
US	22	m	307
KR	72	m	308
BR	25	m	309
UK	39	m	310
RU	22	m	311
BR	21	m	312
PL	16	m	313
UK	22	m	314
US	28	f	315
UK	48	m	316
US	22	m	317
DE	34	m	318
NL	22	m	319
US	19	m	320
DE	26	m	321
IT	20	m	322
CA	20	m	323
PL	20	m	324
ZA	28	m	325
DE	18	m	326
EG	23	m	327
RU	38	m	328
BR	30	m	329
PL	20	m	330
UA	24	m	331
UK	20	m	332
UK	19	m	333
BR	23	m	334
PM	27	m	335
PL	18	m	336
PL	24	m	337
BR	26	f	338
US	24	f	339
RU	19	m	340
UK	26	m	341
RU	21	m	342
RU	33	m	343
LT	23	m	344
IT	23	m	345
BR	21	m	346
CL	31	m	347
CA	33	m	348
US	23	m	349
DE	29	f	350
BR	27	m	351
UK	19	m	352
AU	18	m	353
FI	22	m	354
PL	19	f	355
US	31	m	356
IT	22	m	357
DE	45	m	358
UK	33	m	359
ES	25	m	360
US	24	m	361
CN	22	m	362
BR	20	m	363
NL	20	m	364
UK	22	m	365
JP	25	m	366
US	31	m	367
EE	25	m	368
CN	17	m	369
IT	21	m	370
PL	20	f	371
DK	21	m	372
BR	23	m	373
PT	24	m	374
RU	24	m	375
NL	18	f	376
PL	23	m	377
DE	26	m	378
BR	20	m	379
CZ	28	f	380
AR	25	m	381
BR	20	m	382
BR	27	m	383
BR	31	m	384
CL	18	m	385
UK	22	m	386
PL	36	f	387
PL	18	f	388
UA	27	m	389
BR	21	m	390
LT	41	m	391
SI	21	f	392
IE	22	m	393
US	24	m	394
BR	18	m	395
JP	34	f	396
CO	23	m	397
UA	25	m	398
FR	22	m	399
RU	23	m	400
PT	27	m	401
BR	23	f	402
PT	69	m	403
FI	18	m	404
US	22	m	405
GR	25	f	406
DE	25	m	407
DE	20	m	408
AU	28	m	409
LV	24	m	410
CA	19	m	411
RU	22	m	412
KZ	23	m	413
PL	26	m	414
US	39	m	415
HU	22	f	416
US	31	m	417
RU	20	m	418
US	19	f	419
BE	23	m	420
BR	19	f	421
BY	33	m	422
FI	26	m	423
RU	18	m	424
US	22	m	425
TR	26	m	426
RU	24	f	427
PL	22	m	428
JP	22	f	429
BR	19	m	430
BR	19	m	431
PL	22	m	432
CL	26	m	433
UK	20	m	434
CA	20	m	435
US	21	m	436
UK	22	m	437
BR	19	m	438
DE	21	m	439
IR	25	m	440
RU	22	m	441
AR	20	m	442
RU	21	f	443
RU	19	f	444
BR	18	m	445
PL	21	f	446
FI	26	m	447
DK	20	m	448
UA	21	m	449
UA	18	m	450
BR	20	m	451
SK	27	m	452
BR	19	m	453
UK	19	f	454
DE	20	m	455
FR	25	m	456
RU	19	f	457
PY	27	m	458
US	18	m	459
GR	21	m	460
CL	22	m	461
DE	52	m	462
BR	17	f	463
NL	44	m	464
UK	50	m	465
US	51	m	466
RU	19	m	467
DE	44	m	468
RU	20	m	469
UA	28	m	470
US	19	f	471
US	16	m	472
LV	23	m	473
PL	24	m	474
RU	18	f	475
UK	23	m	476
BY	27	m	477
ID	21	f	478
LB	18	m	479
BG	20	m	480
RU	21	m	481
PL	21	m	482
PL	21	m	483
RU	17	f	484
AT	20	f	485
UK	30	m	486
BE	46	m	487
US	26	m	488
BR	18	f	489
EE	21	m	490
US	20	m	491
BR	23	m	492
LV	21	m	493
BR	18	f	494
NL	29	f	495
EG	23	m	496
BR	17	f	497
NZ	18	m	498
UK	20	f	499
PT	18	m	500
AU	19	f	501
MX	22	m	502
US	22	m	503
BR	18	m	504
DE	18	m	505
US	31	m	506
BE	24	m	507
BY	14	m	508
DE	23	m	509
AU	18	m	510
UK	20	m	511
PL	28	m	512
