0	shakewell	.38 Special	US	Male
1	Ten Typ Mes	100 wymówek	PL	Male
2	Marilyn Manson	1996	US	Male
3	Tinashe	2 On	US	Female
4	Ann Lee	2 Times	IT	Female
5	Azealia Banks	212	US	Female
6	AFI	37mm	US	Female
7	Kelly Clarkson	4 Carats	US	Female
8	Beyoncé	6 Inch	US	Female
9	Ariana Grande	7 rings	US	Female
10	Giorgio Moroder	74 Is the New 24	IT	Male
11	Damien Rice	9 Crimes	IE	Male
12	Aretha Franklin	A Change Is Gonna Come	US	Female
13	Otis Redding	A Change Is Gonna Come	US	Male
14	Moby	A Dark Cloud is Coming	US	Male
15	Easton Corbin	A Girl Like You	US	Male
16	Armandinho	A Ilha	BR	Male
17	Tom Waits	A Little Rain	US	Male
18	Feist	A Man Is Not His Song	CA	Female
19	Elvis Presley	A Mess of Blues	US	Male
20	Alejandro Sanz	A Que No Me Dejas	ES	Male
21	Tina Turner	Acid Queen	CH	Female
22	Shawn Mendes	Act Like You Love Me	CA	Male
23	John Frusciante	After The Ending	US	Male
24	Jazmine Sullivan	After The Hurricane	US	Female
25	Luis Miguel	Ahora Te Puedes Marchar	MX	Male
26	Ali Farka Touré	Ai Du	Mali	Male
27	Hilary Duff	All About You	US	Female
28	Paulina Rubio	All Around The World	MX	Female
29	Flying Lotus	All In	US	Male
30	Róisín Murphy	All My Dreams	IE	Female
31	Peter Murphy	All Night Long	UK	Male
32	Doja Cat	All Nighter	US	Female
33	Taylor Swift	All You Had to Do Was Stay	US	Female
34	Céline Dion	All by Myself	CA	Female
35	Bosse	Alles ist jetzt	DE	Male
36	Paulina Rubio	Amor De Mujer	MX	Female
37	Marisa Monte	Amor I Love You	BR	Female
38	Fantastic Negrito	An Honest Man	US	Male
39	Jon Bellion	An Immigrant	US	Male
40	Lena Katina	An Invitation	RU	Female
41	Jack Johnson	Angel	US	Male
42	Venom	Angel Dust	UK	Male
43	Martin Garrix	Animals	NL	Male
44	Rejjie Snow	Annie	IE	Male
45	Nile	Annihilation of the Wicked	US	Female
46	Brandy	Another Day in Paradise	BE	Male
47	Michael Jackson	Another Part of Me	US	Male
48	Mayhem	Anti	CA	Female
49	Shakira	Antologia	CO	Female
50	Aerial East	Appetizer	US	Female
51	Alejandro Sanz	Aquello Que Me Diste	ES	Male
52	Dooley Wilson	As Time Goes By	US	Male
53	Kaytranada	At All	CA	Male
54	John Mellencamp	Authority Song	US	Male
55	Rome	Automation	IL	Male
56	Toro y Moi	Baby Drive It Down	US	Male
57	Norah Jones	Back to Manhattan	US	Female
58	Kendrick Lamar	Backseat Freestyle	US	Male
59	Brian Eno	Backwater	UK	Male
60	Jace Everett	Bad Things	US	Male
61	Howard Shore	Bag End	CA	Male
